order_id,order_date,ship_date,year,quarter,month,weekday,region,country,sales_channel,customer_segment,sales_rep,product_category,product_name,order_status,payment_method,quantity,unit_price,gross_sales,discount_pct,discount_amount,tax_rate,tax_amount,shipping_fee,total_sales
ORD-202401-00033,2024-01-01,2024-01-06,2024,Q1,Jan,Monday,North,USA,Online,Corporate,L. Nami,Software,Security Suite,Completed,Cash,28,1052.83,29479.24,0.12,3537.51,0.07,1815.92,64.60,27822.25
ORD-202401-00329,2024-01-01,2024-01-02,2024,Q1,Jan,Monday,West,UK,Online,Corporate,A. Taka,Electronics,Tablet,Completed,Mobile Pay,15,758.65,11379.75,0.15,1706.96,0.12,1160.73,45.80,10879.32
ORD-202401-00508,2024-01-02,2024-01-08,2024,Q1,Jan,Tuesday,East,Singapore,Online,Government,D. Siroi,Accessories,Docking Station,Completed,Credit Card,16,151.06,2416.96,0.15,362.54,0.10,205.44,59.53,2319.39
ORD-202401-00717,2024-01-02,2024-01-07,2024,Q1,Jan,Tuesday,North,Canada,Distributor,Consumer,J. Aita,Home,Desk,Completed,Cash,27,210.45,5682.15,0.15,852.32,0.10,482.98,8.96,5321.77
ORD-202401-00188,2024-01-03,2024-01-06,2024,Q1,Jan,Wednesday,West,France,Wholesale,Government,A. Taka,Software,Support Plan,Completed,Credit Card,12,728.68,8744.16,0.05,437.21,0.10,830.70,47.22,9184.87
ORD-202401-00390,2024-01-03,2024-01-09,2024,Q1,Jan,Wednesday,West,France,Retail,Small Business,J. Aita,Accessories,Webcam,Completed,Cash,29,185.97,5393.13,0.15,808.97,0.07,320.89,15.32,4920.37
ORD-202401-00382,2024-01-04,2024-01-06,2024,Q1,Jan,Thursday,East,Singapore,Wholesale,Consumer,L. Nami,Home,Desk,Completed,Mobile Pay,24,127.55,3061.20,0.05,153.06,0.05,145.41,11.88,3065.43
ORD-202401-00266,2024-01-05,2024-01-07,2024,Q1,Jan,Friday,West,Germany,Wholesale,Consumer,T. Vele,Home,Lamp,Returned,Mobile Pay,21,88.67,1862.07,0.02,37.24,0.05,91.24,53.00,1969.07
ORD-202401-00048,2024-01-06,2024-01-09,2024,Q1,Jan,Saturday,East,Philippines,Wholesale,Government,P. Kuri,Office Supplies,Paper,Completed,Bank Transfer,28,58.55,1639.40,0.12,196.73,0.05,72.13,63.18,1577.98
ORD-202401-00443,2024-01-09,2024-01-12,2024,Q1,Jan,Tuesday,West,France,Retail,Corporate,J. Aita,Software,Support Plan,Cancelled,Cash,17,112.82,1917.94,0.00,0.00,0.05,95.90,31.30,2045.14
ORD-202401-00207,2024-01-10,2024-01-14,2024,Q1,Jan,Wednesday,East,Singapore,Wholesale,Consumer,J. Aita,Home,Shelf,Completed,Mobile Pay,17,161.59,2747.03,0.00,0.00,0.10,274.70,48.72,3070.45
ORD-202401-00183,2024-01-12,2024-01-16,2024,Q1,Jan,Friday,West,Germany,Wholesale,Small Business,T. Vele,Office Supplies,Paper,Returned,Cash,14,43.86,614.04,0.00,0.00,0.10,61.40,41.25,716.69
ORD-202401-00212,2024-01-12,2024-01-15,2024,Q1,Jan,Friday,South,New Zealand,Distributor,Government,J. Aita,Accessories,Webcam,Completed,Bank Transfer,11,194.62,2140.82,0.10,214.08,0.07,134.87,12.11,2073.72
ORD-202401-00444,2024-01-12,2024-01-19,2024,Q1,Jan,Friday,South,Australia,Distributor,Corporate,D. Siroi,Software,Security Suite,Cancelled,Mobile Pay,17,649.75,11045.75,0.15,1656.86,0.12,1126.67,44.78,10560.34
ORD-202401-00050,2024-01-13,2024-01-18,2024,Q1,Jan,Saturday,Central,UAE,Retail,Small Business,A. Taka,Office Supplies,Pen,Completed,Mobile Pay,20,46.09,921.80,0.15,138.27,0.10,78.35,49.66,911.54
ORD-202401-00134,2024-01-13,2024-01-17,2024,Q1,Jan,Saturday,North,USA,Distributor,Government,A. Taka,Software,Support Plan,Completed,Cash,4,915.22,3660.88,0.02,73.22,0.05,179.38,64.79,3831.83
ORD-202401-00187,2024-01-13,2024-01-16,2024,Q1,Jan,Saturday,South,New Zealand,Wholesale,Consumer,P. Kuri,Office Supplies,Paper,Completed,Bank Transfer,13,23.53,305.89,0.12,36.71,0.05,13.46,15.17,297.81
ORD-202401-00621,2024-01-13,2024-01-14,2024,Q1,Jan,Saturday,Central,South Africa,Online,Government,A. Taka,Accessories,Docking Station,Cancelled,Cash,9,138.46,1246.14,0.12,149.54,0.05,54.83,49.25,1200.68
ORD-202401-00319,2024-01-15,2024-01-18,2024,Q1,Jan,Monday,East,Singapore,Online,Government,J. Aita,Accessories,Keyboard,Completed,Credit Card,8,43.99,351.92,0.08,28.15,0.05,16.19,64.83,404.79
ORD-202401-00127,2024-01-17,2024-01-27,2024,Q1,Jan,Wednesday,South,New Zealand,Wholesale,Government,L. Nami,Electronics,Tablet,Completed,Cash,21,807.90,16965.90,0.05,848.30,0.12,1934.11,32.18,18083.89
ORD-202401-00029,2024-01-19,2024-01-22,2024,Q1,Jan,Friday,North,USA,Online,Corporate,J. Aita,Office Supplies,Paper,Pending,Mobile Pay,12,22.58,270.96,0.08,21.68,0.10,24.93,20.13,294.34
ORD-202401-00375,2024-01-19,2024-01-24,2024,Q1,Jan,Friday,North,USA,Retail,Government,J. Aita,Home,Cabinet,Completed,Cash,7,431.90,3023.30,0.08,241.86,0.07,194.70,13.91,2990.05
ORD-202401-00478,2024-01-20,2024-01-26,2024,Q1,Jan,Saturday,East,Japan,Online,Small Business,M. Kila,Electronics,Laptop,Pending,Credit Card,2,392.03,784.06,0.15,117.61,0.12,79.97,19.24,765.66
ORD-202401-00609,2024-01-20,2024-02-03,2024,Q1,Jan,Saturday,East,Singapore,Wholesale,Small Business,D. Siroi,Office Supplies,Notebook,Cancelled,Cash,11,21.54,236.94,0.12,28.43,0.10,20.85,8.69,238.05
ORD-202401-00125,2024-01-21,2024-01-31,2024,Q1,Jan,Sunday,South,New Zealand,Distributor,Government,M. Kila,Software,Add-on,Cancelled,Credit Card,17,850.71,14462.07,0.10,1446.21,0.05,650.79,45.58,13712.23
ORD-202401-00506,2024-01-23,2024-01-26,2024,Q1,Jan,Tuesday,West,France,Wholesale,Corporate,A. Taka,Accessories,Headphones,Pending,Cash,8,33.04,264.32,0.15,39.65,0.10,22.47,22.55,269.69
ORD-202401-00777,2024-01-23,2024-01-28,2024,Q1,Jan,Tuesday,West,France,Retail,Consumer,M. Kila,Accessories,Keyboard,Completed,Bank Transfer,13,123.62,1607.06,0.08,128.56,0.07,103.50,51.70,1633.70
ORD-202401-00707,2024-01-24,2024-01-28,2024,Q1,Jan,Wednesday,Central,UAE,Wholesale,Consumer,P. Kuri,Software,License,Completed,Mobile Pay,14,150.67,2109.38,0.15,316.41,0.12,215.16,23.13,2031.26
ORD-202401-00598,2024-01-26,2024-01-30,2024,Q1,Jan,Friday,West,Germany,Online,Government,P. Kuri,Accessories,Headphones,Completed,Mobile Pay,8,201.19,1609.52,0.10,160.95,0.10,144.86,58.59,1652.02
ORD-202401-00067,2024-01-27,2024-02-03,2024,Q1,Jan,Saturday,North,USA,Distributor,Corporate,A. Taka,Home,Chair,Returned,Cash,6,142.80,856.80,0.00,0.00,0.07,59.98,18.51,935.29
ORD-202401-00057,2024-01-29,2024-01-31,2024,Q1,Jan,Monday,West,Germany,Wholesale,Corporate,L. Nami,Office Supplies,Notebook,Completed,Mobile Pay,9,8.57,77.13,0.12,9.26,0.10,6.79,11.12,85.78
ORD-202401-00778,2024-01-31,2024-02-05,2024,Q1,Jan,Wednesday,South,Australia,Retail,Corporate,M. Kila,Home,Lamp,Completed,Credit Card,15,299.97,4499.55,0.05,224.98,0.07,299.22,30.99,4604.78
ORD-202402-00341,2024-02-01,2024-02-06,2024,Q1,Feb,Thursday,West,France,Retail,Government,M. Kila,Home,Desk,Completed,Cash,11,177.26,1949.86,0.15,292.48,0.07,116.02,21.54,1794.94
ORD-202402-00565,2024-02-01,2024-02-11,2024,Q1,Feb,Thursday,West,UK,Distributor,Consumer,T. Vele,Home,Lamp,Completed,Cash,13,186.93,2430.09,0.15,364.51,0.10,206.56,8.56,2280.70
ORD-202402-00085,2024-02-02,2024-02-05,2024,Q1,Feb,Friday,North,Canada,Retail,Government,A. Taka,Accessories,Docking Station,Completed,Mobile Pay,15,109.46,1641.90,0.08,131.35,0.05,75.53,55.88,1641.96
